,Titular,Partido,Gobierno,Inicio,Fin,duracion
179,Alfonso de los Heros Pérez-Albela,Independiente,,6 de noviembre de 1991,6 de abril de 1992,
180,Óscar de la Puente Raygada,Independiente,,6 de abril de 1992,28 de agosto de 1993,
181,Alfonso Bustamante y Bustamante,Cambio 90,,28 de agosto de 1993,17 de febrero de 1994,
182,Efraín Goldenberg Schreiber,Cambio 90,,17 de febrero de 1994,28 de julio de 1995,
183,Dante Córdova Blanco,Cambio 90 - Nueva Mayoría,,27 de julio de 1995,3 de abril de 1996,
184,Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,,3 de abril de 1996,4 de junio de 1998,
185,Javier Valle-Riestra González-Olaechea,Partido Aprista Peruano,,4 de junio de 1998,21 de agosto de 1998,
186,Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,,21 de agosto de 1998,4 de junio de 1999,
187,Víctor Joy Way Rojas,Cambio 90 - Nueva Mayoría,,3 de enero de 1999,10 de octubre de 1999,
188,Alberto Bustamante Belaúnde,Independiente,,10 de octubre de 1999,29 de julio de 2000,
189,Federico Salas-Guevara Schultz,Independiente,,29 de julio de 2000,21 de noviembre de 2000,
190,Javier Pérez de Cuéllar de la Guerra,Unión por el Perú,Valentín Paniagua,22 de noviembre de 2000,28 de julio del 2001,8 meses y 6 días
191,Roberto Dañino Zapata,Independiente,Alejandro Toledo,28 de julio de 2001,11 de julio de 2002,11 meses y 13 días
192,Luis Solari de la Fuente,Perú Posible,,12 de julio de 2002,23 de junio de 2003,11 meses y 2 días
193,Beatriz Merino Lucero,Independiente,,23 de junio de 2003,12 de diciembre de 2003,6 meses y 19 días
194,Carlos Ferrero Costa,Perú Posible,,15 de diciembre de 2003,15 de agosto de 2005,1 año y 8 meses
195,Pedro Pablo Kuczynski Godard,Independiente,,16 de agosto de 2005,28 de julio de 2006,11 meses y 12 días
196,Jorge del Castillo Gálvez,Partido Aprista Peruano,Alan García,28 de julio de 2006,10 de octubre de 2008,"2 años, 2 meses y 12 días"
197,Yehude Simón Munaro,Partido Humanista Peruano,,14 de octubre de 2008,11 de julio de 2009,8 meses y 27 días
198,Javier Velásquez Quesquén,Partido Aprista Peruano,,11 de julio de 2009,13 de septiembre de 2010,"1 año, 2 meses y 2 días"
199,José Antonio Chang Escobedo,Independiente,,14 de septiembre de 2010,18 de marzo de 2011,6 meses y 4 días
200,Rosario Fernández Figueroa,Independiente,,19 de marzo de 2011,28 de julio de 2011,4 meses y 9 días
201,Salomón Lerner Ghitis,Independiente,Ollanta Humala,28 de julio de 2011,10 de diciembre de 2011,4 meses y 12 días
202,Óscar Valdés Dancuart,Independiente,,10 de diciembre de 2011,23 de julio de 2012,7 meses y 13 días
203,Juan Jiménez Mayor,Independiente,,23 de julio de 2012,29 de octubre de 2013,"1 año, 3 meses y 6 días"
204,César Villanueva Arévalo,Independiente,,31 de octubre de 2013,24 de febrero de 2014,3 meses y 24 días
205,René Cornejo Díaz,Independiente,,24 de febrero de 2014,22 de julio de 2014,4 meses y 28 días
206,Ana Jara Velásquez,Partido Nacionalista Peruano,,22 de julio de 2014,2 de abril de 2015,8 meses y 11 días
207,Pedro Cateriano Bellido,Independiente,,2 de abril de 2015,28 de julio de 2016,"1 año, 3 meses y 26 días"
208,Fernando Zavala Lombardi,Independiente,Pedro Pablo Kuczynski,28 de julio de 2016,15 de septiembre de 2017,"1 año, 1 mes, y 17 días"
209,Mercedes Aráoz Fernández,Peruanos por el Kambio,Martín Vizcarra y Pedro Pablo Kuczynski,17 de septiembre de 2017,2 de abril de 2018,6 meses y 16 días
210,César Villanueva Arévalo,Alianza para el Progreso,Martín Vizcarra,2 de abril de 2018,8 de marzo de 2019,11 meses y 6 días
211,Salvador del Solar Labarthe,Independiente,,11 de marzo de 2019,30 de septiembre de 2019,6 meses y 19 días
